"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"US1AZPM0201","TUCSON 5.3 WNW, AZ US","32.246410369873","-111.004592895508","704.7","2013-01",,,,,,,,,,,,,,,"0.53",",,N,26,",,,,,,,,,,,"0.92",",,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0201","TUCSON 5.3 WNW, AZ US","32.246410369873","-111.004592895508","704.7","2013-02",,,,,,,,,,,,,,,"0.69",",,N,21,",,,,,,,,,,,"1.04",",,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0201","TUCSON 5.3 WNW, AZ US","32.246410369873","-111.004592895508","704.7","2013-03",,,,,,,"0","2,N",,,,,"0.0","2,,N,31,+","0.16",",,N,09,",,,,,,,,,,,"0.18",",,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0201","TUCSON 5.3 WNW, AZ US","32.246410369873","-111.004592895508","704.7","2013-04",,,,,,,"0","1,N",,,,,"0.0","1,,N,30,+","0.16",",,N,09,",,,,,,,,,,,"0.16",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"USC00023668","GREEN VALLEY, AZ US","31.893","-110.9977","883.9","2013-01",,,"0","7",,,,,"17",",7,15,",,,,,"0.15",",,7,25,","80",",7,24,+",,,"1018","7",,,,,"0.37",",,,7",,,"47.5",",7","62.4",",,,7","32.6",",,,7",,,,,,,,,,,,
"USC00023668","GREEN VALLEY, AZ US","31.893","-110.9977","883.9","2013-02",,,"0","7",,,,,"27",",7,25,+",,,,,"0.38",",,7,20,","76",",7,03,",,,"1461","7",,,,,"0.73",",,,7",,,"49.2",",7","63.5",",,,7","34.8",",,,7",,,,,,,,,,,,
"USC00023668","GREEN VALLEY, AZ US","31.893","-110.9977","883.9","2013-03",,,"61","7",,,,,"31",",7,01,",,,,,"0.03",",,7,08,","93",",7,16,",,,"1570","7",,,,,"0.03",",,,7",,,"63.4",",7","78.7",",,,7","48.2",",,,7",,,,,,,,,,,,
"USC00023668","GREEN VALLEY, AZ US","31.893","-110.9977","883.9","2013-04",,,"180","7",,,,,"43","1,7,20,+",,,,,"0.00",",,7,30,+","95","1,7,30,",,,"1611","7",,,,,"0.00",",,,7",,,"67.7","1,7","82.1","1,,,7","53.2","1,,,7",,,,,,,,,,,,
"US1AZPM0202","TUCSON 9.9 ENE, AZ US","32.2824434190989","-110.768314898014","819.6","2013-01",,,,,,,,,,,,,,,"0.45",",,N,27,",,,,,,,,,,,"0.92",",,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0202","TUCSON 9.9 ENE, AZ US","32.2824434190989","-110.768314898014","819.6","2013-02",,,,,,,"0","3,N",,,,,"0.0","3,,N,28,+","0.54",",,N,21,",,,,,,,,,,,"0.80",",,,N","0.0","3,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0202","TUCSON 9.9 ENE, AZ US","32.2824434190989","-110.768314898014","819.6","2013-03",,,,,,,"0","2,N",,,,,"0.0","2,,N,31,+","0.03",",,N,09,",,,,,,,,,,,"0.05",",,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0202","TUCSON 9.9 ENE, AZ US","32.2824434190989","-110.768314898014","819.6","2013-04",,,,,,,"0","1,N",,,,,"0.0","1,,N,30,+","0.11",",,N,09,",,,,,,,,,,,"0.11",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0204","VAIL 8.6 SSE, AZ US","31.8817193806171","-110.663935393095","1303.3","2013-01",,,,,,,,,,,,,,,"0.35","3,,N,29,",,,,,,,,,,,"0.62","3,,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0204","VAIL 8.6 SSE, AZ US","31.8817193806171","-110.663935393095","1303.3","2013-02",,,,,,,,,,,,,,,,,,,,,,,,,,,"1.70",",a,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPM0204","VAIL 8.6 SSE, AZ US","31.8817193806171","-110.663935393095","1303.3","2013-04",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.12","5,a,,N",,,,,,,,,,,,,,,,,,,,
"USR0000ASUN","SUNSET POINT ARIZONA, AZ US","34.1953","-112.1417","902.2","2013-01",,,"0","U",,,,,"20",",U,15,+",,,,,,,"75",",U,22,",,,"1247","U",,,,,,,,,"47.1",",U","57.7",",,,U","36.5",",,,U",,,,,,,,,,,,
"USR0000ASUN","SUNSET POINT ARIZONA, AZ US","34.1953","-112.1417","902.2","2013-02",,,"0","U",,,,,"29",",U,10,",,,,,,,"74",",U,16,",,,"1727","U",,,,,,,,,"47.9",",U","58.6",",,,U","37.1",",,,U",,,,,,,,,,,,
"USR0000ASUN","SUNSET POINT ARIZONA, AZ US","34.1953","-112.1417","902.2","2013-03",,,"13","U",,,,,"33",",U,09,",,,,,,,"85",",U,14,",,,"1907","U",,,,,,,,,"59.6",",U","71.9",",,,U","47.4",",,,U",,,,,,,,,,,,
"USR0000ASUN","SUNSET POINT ARIZONA, AZ US","34.1953","-112.1417","902.2","2013-04",,,"83","U",,,,,"40",",U,10,",,,,,,,"93",",U,29,",,,"1989","U",,,,,,,,,"64.6",",U","77.5",",,,U","51.6",",,,U",,,,,,,,,,,,
"USC00023303","GANADO, AZ US","35.7088","-109.5539","1932.4","2013-01",,,"0","7","4","1,7","0","2,7","-13",",7,14,","1","1,,7,04,+","0.2","2,,7,11,","0.73","2,,7,25,","53",",7,23,",,,"3516","7",,,,,"2.39",",a,,7","0.2","2,,,7","22.0",",7","35.6",",,,7","8.3",",,,7",,,,,,,,,,,,
"USC00023303","GANADO, AZ US","35.7088","-109.5539","1932.4","2013-02",,,"0","7","3","3,7","3","3,7","10","2,7,11,","2","3,,7,10,+","1.5","3,,7,10,+","0.13","3,,7,10,+","56","2,7,16,+",,,"4397","7",,,,,"0.39","3,,,7","4.5","3,,,7","31.1","2,7","43.4","2,,,7","18.9","2,,,7",,,,,,,,,,,,
"USC00023303","GANADO, AZ US","35.7088","-109.5539","1932.4","2013-03",,,"0","7",,,,,"14","1,7,23,",,,,,"0.00",",,7,31,+","75","1,7,15,",,,"5069","7",,,,,"0.00",",,,7",,,"42.6","1,7","58.9","1,,,7","26.3","1,,,7",,,,,,,,,,,,
"USC00023303","GANADO, AZ US","35.7088","-109.5539","1932.4","2013-04",,,"0","7","0",",7","0",",7","16",",7,18,","0",",,7,30,+","0.0",",,7,30,+","0.00",",,7,30,+","81",",7,29,",,,"5565","7",,,,,"0.00",",,,7","0.0",",,,7","48.5",",7","64.7",",,,7","32.2",",,,7",,,,,,,,,,,,
"USC00020159","ALPINE, AZ US","33.8492","-109.1469","2453.6","2013-01",,,"0","7",,,"2","4,7","-18","1,7,14,",,,"3.0","4,,7,30,","0.03","5,,7,30,","54","1,7,24,+",,,,,,,,,"1.15","2,a,,7","5.0","4,,,7","23.9","1,7","41.5","1,,,7","6.3","1,,,7",,,,,,,,,,,,
"USC00020159","ALPINE, AZ US","33.8492","-109.1469","2453.6","2013-02",,,"0","7","7",",7","4",",7","3","4,7,21,+","6",",,7,20,","6.0",",,7,20,","0.28",",,7,21,+","55","1,7,07,+",,,,,,,,,"0.98",",,,7","13.5",",,,7","29.6","4,7","44.5","1,,,7","14.7","4,,,7",,,,,,,,,,,,
"USC00020159","ALPINE, AZ US","33.8492","-109.1469","2453.6","2013-03",,,"0","7","1","1,7","1",",7","11",",7,11,+","2","1,,7,11,","6.0",",,7,10,","0.70",",,7,10,","69",",7,18,",,,,,,,,,"0.70",",,,7","6.0",",,,7","40.2",",7","56.6",",,,7","23.8",",,,7",,,,,,,,,,,,
"USC00020159","ALPINE, AZ US","33.8492","-109.1469","2453.6","2013-04",,,"0","7","0",",7","1",",7","12",",7,26,","0",",,7,30,+","4.0",",,7,09,","1.35",",,7,09,","73",",7,29,",,,,,,,,,"1.40",",,,7","4.0",",,,7","42.7",",7","61.8",",,,7","23.6",",,,7",,,,,,,,,,,,
"USC00021248","CANYON DE CHELLY, AZ US","36.1533","-109.5394","1709.9","2013-01",,,"0","7","0",",7","0",",7","-7",",7,15,","0",",T,7,15,+","0.7",",,7,11,","0.41",",,7,26,","55",",7,24,",,,"3267","7",,,,,"0.82",",,,7","0.7",",,,7","23.8",",7","36.2",",,,7","11.5",",,,7",,,,,,,,,,,,
"USC00021248","CANYON DE CHELLY, AZ US","36.1533","-109.5394","1709.9","2013-02",,,"0","7","1",",7","1",",7","10",",7,28,+","1",",,7,09,","1.7",",,7,11,","0.10",",,7,09,","57",",7,17,",,,"4144","7",,,,,"0.17",",,,7","1.7",",,,7","33.7",",7","46.6",",,,7","20.7",",,,7",,,,,,,,,,,,
"USC00021248","CANYON DE CHELLY, AZ US","36.1533","-109.5394","1709.9","2013-03",,,"0","7","0",",7","0",",7","14",",7,24,","0",",,7,31,+","0.0",",,7,31,+","0.27",",,7,09,","75",",7,15,",,,"4735","7",,,,,"0.36",",,,7","0.0",",,,7","45.9",",7","62.4",",,,7","29.5",",,,7",,,,,,,,,,,,
"USC00021248","CANYON DE CHELLY, AZ US","36.1533","-109.5394","1709.9","2013-04",,,"3","7","0",",7","0",",7","18",",7,19,","0",",,7,30,+","0.0",",,7,30,+","0.27",",,7,09,","85",",7,29,",,,"5109","7",,,,,"0.38",",,,7","0.0",",,,7","52.6",",7","68.8",",,,7","36.4",",,,7",,,,,,,,,,,,
"US1AZPN0008","APACHE JUNCTION 5.3 ESE, AZ US","33.362861","-111.46983","535.5","2013-01",,,,,,,"0","4,N",,,,,"0.0","4,,N,31,+","0.72",",,N,27,",,,,,,,,,,,"1.47",",,,N","0.0","4,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0008","APACHE JUNCTION 5.3 ESE, AZ US","33.362861","-111.46983","535.5","2013-02",,,,,,,"0","3,N",,,,,"0.0","3,,N,28,+","0.87",",,N,21,",,,,,,,,,,,"0.98",",,,N","0.0","3,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0008","APACHE JUNCTION 5.3 ESE, AZ US","33.362861","-111.46983","535.5","2013-04",,,,,,,"0","2,N",,,,,"0.0","2,,N,30,+","0.22","1,,N,09,",,,,,,,,,,,"0.22","1,,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0007","QUEEN CREEK 5.1 SE, AZ US","33.1990757","-111.5698576","450.8","2013-01",,,,,,,,,,,,,,,"0.64","2,,N,27,",,,,,,,,,,,"1.15","2,,,N",,,,,,,,,,,,,,,,,,,,
"US1AZPN0007","QUEEN CREEK 5.1 SE, AZ US","33.1990757","-111.5698576","450.8","2013-02",,,,,,,"0","4,N",,,,,"0.0","4,,N,28,+","0.36",",,N,21,",,,,,,,,,,,"0.39",",,,N","0.0","4,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0007","QUEEN CREEK 5.1 SE, AZ US","33.1990757","-111.5698576","450.8","2013-03",,,,,,,"0","3,N",,,,,"0.0","3,,N,31,+","0.52",",,N,09,",,,,,,,,,,,"0.92",",,,N","0.0","3,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0007","QUEEN CREEK 5.1 SE, AZ US","33.1990757","-111.5698576","450.8","2013-04",,,,,,,"0","2,N",,,,,"0.0","2,,N,30,+","0.09","1,,N,09,",,,,,,,,,,,"0.09","1,,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"USR0000ATWE","TWEEDS POINT ARIZONA, AZ US","36.5819","-113.7319","1585.0","2013-01",,,"0","U",,,,,"7",",U,14,",,,,,,,"61",",U,23,",,,"2244","U",,,,,,,,,"36.1",",U","44.0",",,,U","28.3",",,,U",,,,,,,,,,,,
"USR0000ATWE","TWEEDS POINT ARIZONA, AZ US","36.5819","-113.7319","1585.0","2013-02",,,"0","U",,,,,"21",",U,11,",,,,,,,"61",",U,16,",,,"2969","U",,,,,,,,,"39.1",",U","46.7",",,,U","31.5",",,,U",,,,,,,,,,,,
"USR0000ATWE","TWEEDS POINT ARIZONA, AZ US","36.5819","-113.7319","1585.0","2013-03",,,"0","U",,,,,"29",",U,23,",,,,,,,"72",",U,14,+",,,"3347","U",,,,,,,,,"52.8",",U","60.9",",,,U","44.7",",,,U",,,,,,,,,,,,
"USR0000ATWE","TWEEDS POINT ARIZONA, AZ US","36.5819","-113.7319","1585.0","2013-04",,,"26","U",,,,,"30",",U,18,",,,,,,,"83",",U,29,",,,"3619","U",,,,,,,,,"56.8",",U","66.4",",,,U","47.2",",,,U",,,,,,,,,,,,
"USC00021001","BRIGHT ANGEL RANGER STATION, AZ US","36.2147","-112.0619","2438.4","2013-01",,,"0","7","31",",7","4",",7","-12",",7,13,","25",",,7,28,","7.0",",,7,28,","1.53",",,7,26,","48",",7,23,+",,,"4458","7",,,,,"3.44",",,,7","14.1",",,,7","23.0",",7","32.9",",,,7","13.0",",,,7",,,,,,,,,,,,
"USC00021001","BRIGHT ANGEL RANGER STATION, AZ US","36.2147","-112.0619","2438.4","2013-02",,,"0","7","28",",7","3","3,7","-4",",7,12,","37",",,7,09,","18.0","3,,7,12,","0.15","4,,7,20,","49",",7,07,+",,,"5554","7",,,,,"2.42",",a,,7","22.0","3,,,7","25.8",",7","37.8",",,,7","13.8",",,,7",,,,,,,,,,,,
"USC00021001","BRIGHT ANGEL RANGER STATION, AZ US","36.2147","-112.0619","2438.4","2013-03",,,"0","7","31",",7","2",",7","14","1,7,25,+","33",",,7,09,","8.5",",,7,09,","0.82",",,7,09,","64",",7,02,",,,"6407","7",,,,,"1.36",",,,7","13.0",",,,7","36.6","1,7","49.3",",,,7","24.0","1,,,7",,,,,,,,,,,,
"USC00021001","BRIGHT ANGEL RANGER STATION, AZ US","36.2147","-112.0619","2438.4","2013-04",,,"0","7","2",",7","2",",7","16",",7,19,+","3",",,7,09,+","3.0",",,7,08,","0.28",",,7,08,","71",",7,30,",,,"7131","7",,,,,"0.45",",,,7","4.0",",,,7","40.9",",7","54.7",",,,7","27.1",",,,7",,,,,,,,,,,,
"US1AZPN0003","QUEEN CREEK 7.4 ESE, AZ US","33.20179","-111.523851","466.6","2013-01",,,,,,,"0","4,N",,,,,"0.0","4,,N,31,+","0.12","1,,N,26,",,,,,,,,,,,"0.15","1,,,N","0.0","4,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0003","QUEEN CREEK 7.4 ESE, AZ US","33.20179","-111.523851","466.6","2013-02",,,,,,,"0","4,N",,,,,"0.0","4,,N,28,+","0.00","4,,N,28,+",,,,,,,,,,,"0.50",",a,,N","0.0","4,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0003","QUEEN CREEK 7.4 ESE, AZ US","33.20179","-111.523851","466.6","2013-03",,,,,,,"0","1,N",,,,,"0.0","1,,N,31,+","0.50",",,N,08,",,,,,,,,,,,"0.50",",,,N","0.0","1,,,N",,,,,,,,,,,,,,,,,,
"US1AZPN0003","QUEEN CREEK 7.4 ESE, AZ US","33.20179","-111.523851","466.6","2013-04",,,,,,,"0","2,N",,,,,"0.0","2,,N,30,+","0.21",",,N,09,",,,,,,,,,,,"0.22",",,,N","0.0","2,,,N",,,,,,,,,,,,,,,,,,
"US1AZPM0205","TUCSON 11.0 NW, AZ US","32.311299","-111.074941","696.8","2013-01",,,,,,,"0","4,N",,,,,"0.0","4,,N,31,+","0.43",",,N,27,",,,,,,,,,,,"0.80",",,,N","0.0","4,,,N",,,,,,,,,,,,,,,,,,
