"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1AZYV0141","COTTONWOOD 1.5 E, AZ US","2024-02",,,"9","5",,,,,,,,,,,"0.89",,,,"2.07",,,,
"US1AZPM0322","CATALINA 1.6 S, AZ US","2024-01",,,"6","5",,,,,,,,,,,"0.40",,,,"2.02",,,,
"US1AZPM0322","CATALINA 1.6 S, AZ US","2024-02",,,"7","6",,,,,,,,,,,"0.69",,,,"3.02",,,,
"US1AZPM0322","CATALINA 1.6 S, AZ US","2024-03",,,"6","3",,,,,,,,,,,"0.43",,,,"1.12",,,,
"US1AZYV0061","CHINO VALLEY 4.7 WNW, AZ US","2024-01",,,,,,,,,,,,,,,,,,,"0.68",,,,
"US1AZYV0061","CHINO VALLEY 4.7 WNW, AZ US","2024-02",,,"5","3",,"0",,,,,,,,"0.2","0.45",,,,"2.14","0.2",,,
"US1AZYV0061","CHINO VALLEY 4.7 WNW, AZ US","2024-03",,,"15","6",,,,,,,,,,,"0.47",,,,"2.20",,,,
"US1AZYV0100","COTTONWOOD 2.2 SSW, AZ US","2024-01",,,"7","2",,,,,,,,,,,"0.26",,,,"0.58",,,,
"US1AZYV0100","COTTONWOOD 2.2 SSW, AZ US","2024-02",,,"7","5",,,,,,,,,,,"0.94",,,,"2.04",,,,
"US1AZYV0100","COTTONWOOD 2.2 SSW, AZ US","2024-03",,,"11","6",,,,,,,,,,,"0.54",,,,"2.02",,,,
"US1AZMR0599","CAVE CREEK 3.8 S, AZ US","2024-01",,,"6","4",,,,,,,,,,,"0.44",,,,"1.17",,,,
"US1AZMR0599","CAVE CREEK 3.8 S, AZ US","2024-02",,,"7","3",,,,,,,,,,,"0.68",,,,"1.60",,,,
"US1AZMR0599","CAVE CREEK 3.8 S, AZ US","2024-03",,,"14","7",,,,,,,,,,,"0.34",,,,"1.86",,,,
"US1AZMR0479","ANTHEM 0.9 NE, AZ US","2024-01",,,"6","2",,,,,,,,,,,"0.76",,,,"1.11",,,,
"US1AZMR0479","ANTHEM 0.9 NE, AZ US","2024-03",,,"11","5",,,,,,,,,,,"0.34",,,,"1.25",,,,
"US1AZMR0595","CAVE CREEK 1.6 NNE, AZ US","2024-01",,,"7","5",,,,,,,,,,,"0.67",,,,"1.56",,,,
"US1AZMR0595","CAVE CREEK 1.6 NNE, AZ US","2024-02",,,"8","6",,,,,,,,,,,"0.86",,,,"2.39",,,,
"US1AZMR0595","CAVE CREEK 1.6 NNE, AZ US","2024-03",,,"14","7",,,,,,,,,,,"0.53",,,,"2.22",,,,
"US1AZYV0136","CAMP VERDE 3.2 NNW, AZ US","2024-01",,,"7","1",,,,,,,,,,,"0.12",,,,"0.39",,,,
"US1AZYV0136","CAMP VERDE 3.2 NNW, AZ US","2024-02",,,"7","4",,,,,,,,,,,"0.78",,,,"2.02",,,,
"US1AZYV0136","CAMP VERDE 3.2 NNW, AZ US","2024-03",,,"14","9",,,,,,,,,,,"0.44",,,,"2.11",,,,
"US1AZYV0055","CORNVILLE 0.8 SSE, AZ US","2024-01",,,"5","2",,,,,,,,,,,"0.15",,,,"0.39",,,,
"US1AZYV0055","CORNVILLE 0.8 SSE, AZ US","2024-02",,,"5","3",,,,,,,,,,,"0.60",,,,"1.19",,,,
"US1AZYV0055","CORNVILLE 0.8 SSE, AZ US","2024-03",,,"13","7",,,,,,,,,,,"0.58",,,,"1.91",,,,
"US1AZCH0064","BENSON 3.4 W, AZ US","2024-01",,,"7","5",,,,,,,,,,,"1.06",,,,"2.16",,,,
"US1AZCH0064","BENSON 3.4 W, AZ US","2024-02",,,"6","4",,,,,,,,,,,"0.43",,,,"1.52",,,,
"US1AZCH0064","BENSON 3.4 W, AZ US","2024-03",,,"6","4",,,,,,,,,,,"0.48",,,,"0.94",,,,
"US1AZPN0091","ARIZONA CITY 0.7 S, AZ US","2024-01",,,"6","3",,,,,,,,,,,"0.62",,,,"0.99",,,,
"US1AZPN0091","ARIZONA CITY 0.7 S, AZ US","2024-02",,,"6","4",,,,,,,,,,,"0.50",,,,"1.41",,,,
"US1AZPN0091","ARIZONA CITY 0.7 S, AZ US","2024-03",,,"6","0",,,,,,,,,,,"0.09",,,,"0.26",,,,
"USC00021027","BUCKEYE 5 N, AZ US","2024-01","4","4","6","3","0","0","0","2","0","11","0","30","0","0.0","0.24","79","619","339","0.71","0.0","54.2","65.4","43.0"
"USC00021027","BUCKEYE 5 N, AZ US","2024-02","15","11","6","6",,,"0","0","0","18","0","37",,,"0.39","81","791","172","1.22",,"59.2","71.5","46.9"
"USC00021027","BUCKEYE 5 N, AZ US","2024-03","44","29","6","2",,,"0","0","0","27","0","43",,,"0.19","88","875","84","0.48",,"63.2","77.0","49.4"
"US1AZMR0466","BUCKEYE 13.7 W, AZ US","2024-01",,,"5","3",,,,,,,,,,,"0.73",,,,"1.23",,,,
"US1AZMR0466","BUCKEYE 13.7 W, AZ US","2024-02",,,"5","3",,,,,,,,,,,"1.03",,,,"1.80",,,,
"US1AZMR0466","BUCKEYE 13.7 W, AZ US","2024-03",,,"4","4",,,,,,,,,,,"0.37",,,,"0.94",,,,
"US1AZMR0589","CAVE CREEK 9.8 W, AZ US","2024-01",,,"6","4",,,,,,,,,,,"0.44",,,,"0.90",,,,
"US1AZMR0589","CAVE CREEK 9.8 W, AZ US","2024-02",,,"7","4",,,,,,,,,,,"0.77",,,,"1.63",,,,
"US1AZMR0589","CAVE CREEK 9.8 W, AZ US","2024-03",,,,,,,,,,,,,,,,,,,"1.31",,,,
"USC00020975","BOYCE THOMPSON ARBORETUM, AZ US","2024-01","0","0","8","7","0","0","0","7","0","7","0","27","0","0.0","0.50","78",,"438","1.88","0.0","50.8","62.4","39.3"
"USC00020975","BOYCE THOMPSON ARBORETUM, AZ US","2024-02","6","6","7","6","0","1","0","0","0","14","0","33","0","1.0","1.15","81",,"268","3.31","1.0","55.6","68.1","43.1"
"USC00020975","BOYCE THOMPSON ARBORETUM, AZ US","2024-03","6","0",,,"0","0","0","0","0","16","0","38","0","0.0",,"80",,"204",,"0.0","57.4","70.2","44.7"
"US1AZCH0076","DOUGLAS 0.8 WNW, AZ US","2024-01",,,"6","3",,,,,,,,,,,"0.50",,,,"0.94",,,,
"US1AZCH0076","DOUGLAS 0.8 WNW, AZ US","2024-02",,,"5","2",,"0",,,,,,,,"0.0","0.24",,,,"0.63","0.0",,,
"US1AZCH0076","DOUGLAS 0.8 WNW, AZ US","2024-03",,,"2","0",,"0",,,,,,,,"0.0","0.08",,,,"0.12","0.0",,,
"US1AZMR0585","CAVE CREEK 9.8 S, AZ US","2024-01",,,"6","3","0","0",,,,,,,"0","0.2","0.51",,,,"1.51","0.2",,,
"US1AZMR0585","CAVE CREEK 9.8 S, AZ US","2024-02",,,"5","4","0","0",,,,,,,"0","0.0","0.68",,,,"1.80","0.0",,,
"US1AZMR0585","CAVE CREEK 9.8 S, AZ US","2024-03",,,"11","5","0","0",,,,,,,"0","0.0","0.36",,,,"1.50","0.0",,,
"US1AZGN0002","ALPINE 11.0 SSE, AZ US","2024-01",,,"8","5",,"3",,,,,,,,"3.2","0.35",,,,"1.38","9.0",,,
"US1AZGN0002","ALPINE 11.0 SSE, AZ US","2024-02",,,"7","5",,,,,,,,,,,"0.52",,,,"1.16",,,,
"US1AZMH0027","DOLAN SPRINGS 1.4 NNE, AZ US","2024-01",,,"9","4",,,,,,,,,,,"0.19",,,,"0.83",,,,
"US1AZMH0027","DOLAN SPRINGS 1.4 NNE, AZ US","2024-02",,,"7","5",,,,,,,,,,,"0.35",,,,"1.36",,,,
"US1AZMH0027","DOLAN SPRINGS 1.4 NNE, AZ US","2024-03",,,"8","5",,,,,,,,,,,"0.72",,,,"2.02",,,,
"US1AZYV0087","DEWEY HUMBOLDT 1.4 SE, AZ US","2024-01",,,"8","3",,,,,,,,,,,"0.19",,,,"0.66",,,,
"US1AZYV0087","DEWEY HUMBOLDT 1.4 SE, AZ US","2024-02",,,"9","4",,,,,,,,,,,"1.57",,,,"3.10",,,,
"US1AZYV0087","DEWEY HUMBOLDT 1.4 SE, AZ US","2024-03",,,"13","7",,,,,,,,,,,"0.61",,,,"2.53",,,,
"US1AZPN0063","CASA GRANDE 3.0 ENE, AZ US","2024-01",,,"7","3",,,,,,,,,,,"0.63",,,,"1.21",,,,
"US1AZPN0063","CASA GRANDE 3.0 ENE, AZ US","2024-02",,,"8","6",,,,,,,,,,,"0.66",,,,"2.09",,,,
"US1AZPN0063","CASA GRANDE 3.0 ENE, AZ US","2024-03",,,"3","3",,,,,,,,,,,"0.24",,,,"0.49",,,,
"US1AZMR0577","BUCKEYE 5.4 N, AZ US","2024-01",,,"5","3",,,,,,,,,,,"0.24",,,,"0.64",,,,
"US1AZMR0577","BUCKEYE 5.4 N, AZ US","2024-02",,,"6","6",,,,,,,,,,,"0.39",,,,"1.22",,,,
"US1AZMR0577","BUCKEYE 5.4 N, AZ US","2024-03",,,"6","2",,,,,,,,,,,"0.19",,,,"0.48",,,,
"US1AZPM0231","CATALINA 2.5 ESE, AZ US","2024-01",,,"7","5",,,,,,,,,,,"0.81",,,,"2.09",,,,
"US1AZPM0231","CATALINA 2.5 ESE, AZ US","2024-02",,,"8","7",,,,,,,,,,,"0.51",,,,"2.15",,,,
"US1AZPM0231","CATALINA 2.5 ESE, AZ US","2024-03",,,"7","4",,,,,,,,,,,"0.36",,,,"1.17",,,,
"US1AZMR0536","BUCKEYE 3.9 NNE, AZ US","2024-01",,,"4","2",,"0",,,,,,,,"0.0","0.25",,,,"0.50","0.0",,,
"US1AZMR0536","BUCKEYE 3.9 NNE, AZ US","2024-02",,,"5","4",,"0",,,,,,,,"0.0","0.73",,,,"1.78","0.0",,,
"US1AZMR0536","BUCKEYE 3.9 NNE, AZ US","2024-03",,,"4","3",,"0",,,,,,,,"0.0","0.31",,,,"0.76","0.0",,,
"US1AZMR0613","CHANDLER 3.6 NW, AZ US","2024-01",,,"6","2",,,,,,,,,,,"0.65",,,,"1.10",,,,
"US1AZMR0613","CHANDLER 3.6 NW, AZ US","2024-02",,,"6","4",,,,,,,,,,,"0.61",,,,"1.52",,,,
"US1AZMR0613","CHANDLER 3.6 NW, AZ US","2024-03",,,"6","4",,,,,,,,,,,"0.41",,,,"0.99",,,,
"US1AZCH0081","BENSON 9.2 SSW HUMMINGBIRD GARDEN, AZ US","2024-01",,,"9","5",,,,,,,,,,,"0.58",,,,"1.70",,,,
"US1AZCH0081","BENSON 9.2 SSW HUMMINGBIRD GARDEN, AZ US","2024-02",,,"5","5",,"1",,,,,,,,"1.0","0.43",,,,"1.62","1.0",,,
"US1AZCH0081","BENSON 9.2 SSW HUMMINGBIRD GARDEN, AZ US","2024-03",,,"5","3",,"0",,,,,,,,"0.0","0.55",,,,"1.11","0.0",,,
"US1AZCH0080","BENSON 9.4 SSW MAINTENANCE, AZ US","2024-01",,,"9","5",,,,,,,,,,,"0.55",,,,"1.48",,,,
"US1AZCH0080","BENSON 9.4 SSW MAINTENANCE, AZ US","2024-02",,,"5","5",,"1",,,,,,,,"1.0","0.38",,,,"1.43","1.0",,,
"US1AZCH0080","BENSON 9.4 SSW MAINTENANCE, AZ US","2024-03",,,"5","3",,"0",,,,,,,,"0.0","0.50",,,,"0.97","0.0",,,
