"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00003145","YUMA MCAS, AZ US","2013-07","8.5","2775","0","0","76","0","0.0","0.47","114","0","0.47","0.0","95.3","106.3","84.2","160","160","36.0","41"
"USW00003145","YUMA MCAS, AZ US","2013-08","7.4","3653","0","0","75","0","0.0","0.20","112","0","0.22","0.0","93.3","105.4","81.2","120","80","45.0","54"
"USW00003145","YUMA MCAS, AZ US","2013-09","6.0","4332","0","0","62","0","0.0","0.34","111","0","0.51","0.0","88.9","101.1","76.6","230","240","33.1","41"
"USW00003145","YUMA MCAS, AZ US","2013-10","5.8","4641","0","0","52","0","0.0","0.00","97","0","0.00","0.0","75.0","88.5","61.4","30","10","25.9","34"
"USW00003145","YUMA MCAS, AZ US","2013-11","5.8","4743","0","0","49","0","0.0","0.67","92","41","1.00","0.0","67.0","78.7","55.3","350","360","23.0","30"
"USW00003145","YUMA MCAS, AZ US","2013-12","7.6","4743","0","0","39","0","0.0","0.07","79","254","0.11","0.0","58.2","69.2","47.2","350","350","28.0","35"
"USW00003145","YUMA MCAS, AZ US","2014-01","5.8","14","0","0","43","0","0.0","0.00","82","325","0.00","0.0","63.1","76.5","49.8","20","40","25.1","31"
"USW00003145","YUMA MCAS, AZ US","2014-02","4.7","106","0","0","38","0","0.0","0.00","91","381","0.00","0.0","66.3","79.4","53.2","160","160","23.9","30"
"USW00003145","YUMA MCAS, AZ US","2014-03","6.5","284","0","0","50","0","0.0","0.07","92","385","0.07","0.0","70.6","84.4","56.8","280","280","35.1","40"
"USW00003145","YUMA MCAS, AZ US","2014-04","7.6","592","0","0","47","0","0.0","0.00","99","391","0.00","0.0","75.1","89.1","61.1","300","320","36.0","49"
"USW00003145","YUMA MCAS, AZ US","2014-05","7.8","1134","0","0","53","0","0.0","0.00","108","391","0.00","0.0","82.5","97.3","67.7","300","300","35.1","45"
"USW00003145","YUMA MCAS, AZ US","2014-06","7.4","1935","0","0","68","0","0.0","0.00","109","391","0.00","0.0","91.7","106.6","76.8","160","160","28.0","33"
"USW00003145","YUMA MCAS, AZ US","2014-07","8.9","2905","0","0","78","0","0.0","0.20","117","0","0.28","0.0","96.3","108.4","84.1","230","240","35.1","45"
