"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2013-07",,,,,,,,"1.33",,,"5.61",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2013-08",,,,,,,,"1.36",,,"4.09",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2013-09",,,,,,,,"0.71",,,"3.38",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2013-10",,,,"0",,,"0.0","0.00",,,"0.00","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2013-11",,,,"0",,,"0.0","0.22",,,"0.39","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2013-12",,,,"0",,,"0.0","0.13",,,"0.28","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-01",,,,"0",,,"0.0","0.01",,,"0.01","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-02",,,,"0",,,"0.0","0.01",,,"0.01","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-03",,,,"0",,,"0.0","0.82",,,"0.83","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-04",,,,"0",,,"0.0","0.03",,,"0.05","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-05",,,,"0",,,"0.0","0.00",,,"0.00","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-06",,,,"0",,,"0.0","0.00",,,"0.00","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-07",,,,,,,,"2.16",,,"6.53",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-08",,,,,,,,"1.46",,,"7.84",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-09",,,,,,,,"2.01",,,"6.61",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-10",,,,"0",,,"0.0","0.52",,,"0.93","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-11",,,,"0",,,"0.0","0.09",,,"0.09","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2014-12",,,,,,,,"0.16",,,"0.39",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-01",,,,,,,,"1.00",,,"1.95",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-02",,,,"0",,,"0.0","0.30",,,"0.50","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-03",,,,,,,,"0.39",,,"0.81",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-04",,,,"0",,,"0.0","0.45",,,"0.59","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-05",,,,"0",,,"0.0","0.07",,,"0.11","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-06",,,,,,,,"0.89",,,"1.44",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-07",,,,,,,,"1.32",,,"5.07",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-08",,,,,,,,"0.62",,,"2.69",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-09",,,,,,,,"1.12",,,"4.20",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-10",,,,,,,,"1.03",,,"2.15",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-11",,,,,,,,"0.09",,,"0.30",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2015-12",,,,"0",,,"0.0","0.36",,,"0.49","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-01",,,,"0",,,"0.8","0.67",,,"1.31","0.8",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-02",,,,"0",,,"0.5","0.22",,,"0.24","0.5",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-03",,,,"0",,,"0.0","0.12",,,"0.17","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-04",,,,"0",,,"0.0","0.03",,,"0.03","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-05",,,,"0",,,"0.0","0.02",,,"0.02","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-06",,,,,,,,"0.50",,,"1.00",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-07",,,,,,,,"0.47",,,"2.82",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-08",,,,,,,,"1.15",,,"2.65",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-09",,,,,,,,"1.60",,,"4.15",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-10",,,,"0",,,"0.0","0.15",,,"0.28","0.0",,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-11",,,,,,,,"0.20",,,"0.29",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2016-12",,,,,,,,"0.65",,,"1.29",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-01",,,,,,,,"0.48",,,"0.91",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-02",,,,,,,,"0.17",,,"0.22",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-03",,,,,,,,"0.07",,,"0.08",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-04",,,,,,,,"0.13",,,"0.13",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-05",,,,,,,,"0.07",,,"0.09",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-06",,,,,,,,"0.18",,,"0.18",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-07",,,,,,,,"1.00",,,"3.98",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-08",,,,,,,,"0.72",,,"2.50",,,,,,,,
"US1AZCH0017","SIERRA VISTA 1.3 E, AZ US","2017-09",,,,,,,,"0.06",,,"0.09",,,,,,,,
