"STATION","NAME","DATE","CDSD","DSNW","EMNT","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00023668","GREEN VALLEY, AZ US","2013-07","1631",,"67",,"2.01","108","0","4.95",,"84.8","96.3","73.3"
"USC00023668","GREEN VALLEY, AZ US","2013-08","2153",,"66",,"0.39","105","0","1.57",,"84.3","96.6","72.1"
"USC00023668","GREEN VALLEY, AZ US","2013-09","2580",,"52",,"1.88","102","0","2.30",,"79.7","93.1","66.3"
"USC00023668","GREEN VALLEY, AZ US","2013-10","2699",,"40",,"0.00","93","26","0.00",,"68.0","84.5","51.5"
"USC00023668","GREEN VALLEY, AZ US","2013-11","2716",,"36",,"1.60","86","161","2.30",,"60.9","75.2","46.6"
"USC00023668","GREEN VALLEY, AZ US","2013-12","2716",,"28",,"0.52","82","572","0.93",,"51.3","65.9","36.7"
"USC00023668","GREEN VALLEY, AZ US","2014-01","0",,"29",,"0.00","78","865","0.00",,"54.9","71.4","38.4"
"USC00023668","GREEN VALLEY, AZ US","2014-02","7",,"32",,"0.02","88","1053","0.02",,"58.6","74.1","43.1"
"USC00023668","GREEN VALLEY, AZ US","2014-03","20",,"42",,"1.27","84","1150","1.27",,"62.2","76.8","47.5"
"USC00023668","GREEN VALLEY, AZ US","2014-04","117",,"40",,"0.06","93","1201","0.07",,"66.8","82.4","51.1"
"USC00023668","GREEN VALLEY, AZ US","2014-05","428",,"47",,"0.00","102","1206","0.00",,"74.9","89.9","59.8"
"USC00023668","GREEN VALLEY, AZ US","2014-06","1073",,"63",,"0.00","105","1206","0.00",,"86.5","101.1","71.9"
"USC00023668","GREEN VALLEY, AZ US","2014-07","1674",,"66",,"1.05","105","0","3.54",,"85.7","97.9","73.5"
"USC00023668","GREEN VALLEY, AZ US","2014-08","2184",,"67",,"0.46","101","0","1.08",,"82.6","94.3","70.9"
"USC00023668","GREEN VALLEY, AZ US","2014-09","2627",,"56",,"0.70","102","0","2.28",,"80.3","92.3","68.2"
"USC00023668","GREEN VALLEY, AZ US","2014-10","2865",,"52",,"0.56","96","0","0.93",,"72.9","88.0","57.9"
"USC00023668","GREEN VALLEY, AZ US","2014-11","2897",,"31",,"0.00","90","176","0.00",,"59.9","75.5","44.3"
"USC00023668","GREEN VALLEY, AZ US","2014-12","2898",,"25",,"0.43","77","548","1.37",,"52.6","66.3","38.9"
"USC00023668","GREEN VALLEY, AZ US","2015-01","0",,"26",,"1.24","78","910","2.03",,"52.9","66.7","39.2"
"USC00023668","GREEN VALLEY, AZ US","2015-02","0",,"36",,"0.15","84","1051","0.23",,"60.0","74.6","45.3"
"USC00023668","GREEN VALLEY, AZ US","2015-03","49",,"36",,"0.15","91","1145","0.26",,"63.6","78.2","48.9"
"USC00023668","GREEN VALLEY, AZ US","2015-04","126",,"41",,"0.07","88","1187","0.07",,"66.2","82.4","49.9"
"USC00023668","GREEN VALLEY, AZ US","2015-05","304",,"46",,"0.02","100","1195","0.04",,"70.5","85.6","55.3"
"USC00023668","GREEN VALLEY, AZ US","2015-06","931",,"63",,"0.70","109","1195","1.26",,"85.9","101.3","70.5"
"USC00023668","GREEN VALLEY, AZ US","2015-08",,,"67",,"0.46","106",,"1.20",,"86.0","99.3","72.6"
"USC00023668","GREEN VALLEY, AZ US","2015-09",,,"64",,"1.85","99",,"2.90",,"80.2","92.2","68.3"
"USC00023668","GREEN VALLEY, AZ US","2015-10",,,"44",,"0.93","99",,"2.67",,"71.9","85.3","58.5"
"USC00023668","GREEN VALLEY, AZ US","2015-11",,,"28",,"0.15",,,"0.27",,,,"39.8"
"USC00023668","GREEN VALLEY, AZ US","2015-12",,,"24",,"0.51","81",,"0.61",,"51.2","66.1","36.4"
"USC00023668","GREEN VALLEY, AZ US","2016-01","0",,"27",,"0.90","81",,"1.39",,"51.0","65.7","36.4"
"USC00023668","GREEN VALLEY, AZ US","2016-02","7",,"24",,"0.00","89",,"0.00",,"59.4","77.7","41.2"
"USC00023668","GREEN VALLEY, AZ US","2016-03","41",,"37",,"0.00","90",,"0.00",,"62.9","79.8","46.0"
"USC00023668","GREEN VALLEY, AZ US","2016-04","132",,"42",,"0.30","93",,"0.52",,"67.1","82.2","52.0"
"USC00023668","GREEN VALLEY, AZ US","2016-05","353",,"49",,"0.00","98",,"0.00",,"72.2","87.7","56.7"
"USC00023668","GREEN VALLEY, AZ US","2016-06","956",,"61",,"0.34","112",,"0.37",,"85.8","100.7","71.0"
"USC00023668","GREEN VALLEY, AZ US","2016-08",,,"63",,"1.97","105",,"3.16",,"82.9","95.0","70.8"
"USC00023668","GREEN VALLEY, AZ US","2016-09",,,"52",,"0.96","102",,"1.95",,"78.2","91.4","64.9"
"USC00023668","GREEN VALLEY, AZ US","2016-10",,,"50",,"0.20","95",,"0.37",,"74.6","91.1","58.1"
"USC00023668","GREEN VALLEY, AZ US","2016-11",,,"27",,"0.05","88",,"0.10",,"61.8","77.2","46.5"
"USC00023668","GREEN VALLEY, AZ US","2016-12",,,,,"0.47",,,"1.07",,,,
"USC00023668","GREEN VALLEY, AZ US","2017-01","0",,"26",,"0.45","80",,"1.54",,"50.7","64.2","37.2"
"USC00023668","GREEN VALLEY, AZ US","2017-02","7",,"32",,"0.07","88",,"0.15",,"57.8","72.4","43.2"
"USC00023668","GREEN VALLEY, AZ US","2017-03","101",,"36",,"0.15","92",,"0.24",,"65.7","82.4","49.0"
"USC00023668","GREEN VALLEY, AZ US","2017-04","243",,"39",,"0.05","96",,"0.05",,"68.9","86.4","51.5"
"USC00023668","GREEN VALLEY, AZ US","2017-05",,,,,"0.01",,,"0.01",,,,
"USC00023668","GREEN VALLEY, AZ US","2017-06",,,,,"0.11",,,"0.11",,,,
"USC00023668","GREEN VALLEY, AZ US","2017-07",,,,,"1.92",,,"4.92",,,,
"USC00023668","GREEN VALLEY, AZ US","2017-08",,,"64",,"0.53","102",,"0.99",,"83.6","96.8","70.3"
"USC00023668","GREEN VALLEY, AZ US","2017-09",,,"50",,"0.00","103",,"0.00",,"80.0","94.2","65.7"
"USC00023668","GREEN VALLEY, AZ US","2017-10",,,"50",,"0.00","98",,"0.00",,"74.8","91.8","57.8"
"USC00023668","GREEN VALLEY, AZ US","2017-11",,,"44",,"0.17","93",,"0.17",,"67.4","83.8","50.9"
"USC00023668","GREEN VALLEY, AZ US","2017-12",,,"25",,"0.60","84",,"0.60",,"54.5","68.9","40.1"
"USC00023668","GREEN VALLEY, AZ US","2018-01","0",,"26",,"0.00","81",,"0.00",,"56.4","73.2","39.6"
"USC00023668","GREEN VALLEY, AZ US","2018-02","0",,"30",,"1.00","82",,"2.56",,"54.9","69.4","40.4"
"USC00023668","GREEN VALLEY, AZ US","2018-03","28",,"30",,"0.03","91",,"0.03",,"60.6","75.3","46.0"
"USC00023668","GREEN VALLEY, AZ US","2018-04","191",,"42",,"0.00","95",,"0.00",,"70.2","86.9","53.4"
"USC00023668","GREEN VALLEY, AZ US","2018-05","519",,"45",,"0.00","101",,"0.00",,"75.7","93.4","57.9"
"USC00023668","GREEN VALLEY, AZ US","2018-06","1066",,"58",,"1.10","106",,"1.10",,"84.5","100.8","68.3"
"USC00023668","GREEN VALLEY, AZ US","2018-07","1673",,"62",,"1.10","108","0","3.17",,"85.9","98.5","73.3"
"USC00023668","GREEN VALLEY, AZ US","2018-08","2207",,"65",,"1.55","106","0","2.65",,"84.1","95.8","72.4"
"USC00023668","GREEN VALLEY, AZ US","2018-09","2694",,"64",,"3.45","103","0","6.14",,"81.8","95.2","68.4"
"USC00023668","GREEN VALLEY, AZ US","2018-10","2804",,"47",,"0.90","96","35","3.09",,"67.4","80.0","54.8"
"USC00023668","GREEN VALLEY, AZ US","2018-11","2805",,"32",,"0.00","83","256","0.00",,"57.6","73.7","41.6"
"USC00023668","GREEN VALLEY, AZ US","2018-12","2805",,"26",,"0.34","77","667","1.57",,"51.7","64.9","38.6"
"USC00023668","GREEN VALLEY, AZ US","2019-01","0",,"25",,"0.36","79","1106","1.12",,"50.9","65.0","36.8"
"USC00023668","GREEN VALLEY, AZ US","2019-02","0",,"25",,"1.16","76","1469","2.78",,"50.5","63.2","37.7"
"USC00023668","GREEN VALLEY, AZ US","2019-03","14",,"33",,"0.43","88","1647","0.87",,"59.5","75.5","43.5"
"USC00023668","GREEN VALLEY, AZ US","2019-04","108",,"44",,"0.03","95","1689","0.04",,"66.7","82.3","51.1"
"USC00023668","GREEN VALLEY, AZ US","2019-05","218",,"48",,"0.32","95","1703","0.45",,"68.1","83.2","52.9"
"USC00023668","GREEN VALLEY, AZ US","2019-06","703",,"58",,"0.01","106","1703","0.01",,"81.2","98.0","64.3"
"USC00023668","GREEN VALLEY, AZ US","2019-07","1404",,"62",,"0.39","107","0","0.61",,"87.6","101.3","73.9"
"USC00023668","GREEN VALLEY, AZ US","2019-08","2037",,"67",,"1.00","108","0","2.40",,"86.1","99.9","72.3"
"USC00023668","GREEN VALLEY, AZ US","2019-09","2506",,"57",,"0.52","104","0","1.32",,"80.6","94.0","67.3"
"USC00023668","GREEN VALLEY, AZ US","2019-10","2681",,"34",,"0.00","96","31","0.00",,"69.7","86.3","53.0"
"USC00023668","GREEN VALLEY, AZ US","2019-11","2712",,"34",,"1.04","87","174","3.06",,"61.3","75.2","47.3"
"USC00023668","GREEN VALLEY, AZ US","2019-12","2712",,"26",,"0.51","77","605","1.59",,"51.1","64.8","37.4"
"USC00023668","GREEN VALLEY, AZ US","2020-01","0",,"30",,"0.34","77","1018","0.71",,"51.7","67.3","36.0"
"USC00023668","GREEN VALLEY, AZ US","2020-02","0",,"24",,"0.52","80","1373","0.89",,"52.8","68.1","37.5"
"USC00023668","GREEN VALLEY, AZ US","2020-03","0",,"33",,"0.56","84","1596","0.84",,"57.8","72.5","43.1"
"USC00023668","GREEN VALLEY, AZ US","2020-04","92",,"42",,"0.08","100","1651","0.08",,"66.2","82.7","49.7"
"USC00023668","GREEN VALLEY, AZ US","2020-05","456",,"51",,"0.01","106","1651","0.01",,"77.5","94.9","60.2"
"USC00023668","GREEN VALLEY, AZ US","2020-06","1033",,"52",,"0.02","107","1651","0.02",,"84.2","100.6","67.9"
"USC00023668","GREEN VALLEY, AZ US","2020-07","1778",,"65",,"0.50","109","0","0.94",,"89.1","101.3","76.8"
"USC00023668","GREEN VALLEY, AZ US","2020-08","2552",,"69",,"0.35","109","0","0.39",,"89.9","104.0","75.9"
"USC00023668","GREEN VALLEY, AZ US","2020-09","3066",,"55",,"0.00","109","0","0.00",,"82.1","97.2","67.0"
"USC00023668","GREEN VALLEY, AZ US","2020-10","3377",,"31",,"0.00","101","50","0.00",,"73.7","91.4","56.0"
"USC00023668","GREEN VALLEY, AZ US","2020-11","3470",,"30",,"0.14","93","208","0.14",,"62.8","80.2","45.5"
"USC00023668","GREEN VALLEY, AZ US","2020-12","3470",,"28",,"0.27","79","645","0.31",,"50.9","67.3","34.5"
"USC00023668","GREEN VALLEY, AZ US","2021-01","0",,"27",,"0.42","80","1091","1.43",,"50.6","66.4","34.8"
"USC00023668","GREEN VALLEY, AZ US","2021-02","0",,"30",,"0.00","81","1383","0.00",,"54.6","71.4","37.8"
"USC00023668","GREEN VALLEY, AZ US","2021-03","10",,"28",,"0.07","87","1645","0.11",,"56.8","72.1","41.6"
"USC00023668","GREEN VALLEY, AZ US","2021-04","128",,"46",,"0.11","92","1665","0.11",,"68.9","84.4","53.5"
"USC00023668","GREEN VALLEY, AZ US","2021-05","420",,"49",,"0.00","98","1665","0.00",,"75.4","92.7","58.2"
"USC00023668","GREEN VALLEY, AZ US","2021-06","1050",,"61",,"0.30","112","1665","0.31",,"86.7","101.7","71.8"
"USC00023668","GREEN VALLEY, AZ US","2021-07","1608",,"61",,"4.40","105","0","11.87",,"83.0","94.6","71.4"
"USC00023668","GREEN VALLEY, AZ US","2021-08",,,,,"1.02",,,"4.16",,,,
"USC00023668","GREEN VALLEY, AZ US","2021-09",,,"60",,"0.48","100",,"1.04",,"80.2","93.9","66.4"
"USC00023668","GREEN VALLEY, AZ US","2021-10",,,"37",,"0.00","95",,"0.00",,"67.9","85.3","50.6"
"USC00023668","GREEN VALLEY, AZ US","2021-11",,,"39",,"0.00","90",,"0.00",,"63.8","82.0","45.6"
"USC00023668","GREEN VALLEY, AZ US","2021-12",,,"29",,"0.06","82",,"0.13",,"54.7","70.7","38.8"
"USC00023668","GREEN VALLEY, AZ US","2022-01","0",,"26",,"0.28","76",,"0.32",,"51.5","68.9","34.0"
"USC00023668","GREEN VALLEY, AZ US","2022-02","0",,"25",,"0.21","82",,"0.21",,"51.2","68.9","33.4"
"USC00023668","GREEN VALLEY, AZ US","2022-03","12",,"30",,"0.18","93",,"0.20",,"59.1","77.8","40.4"
"USC00023668","GREEN VALLEY, AZ US","2022-04","136",,"38",,"0.00","96",,"0.00",,"68.4","86.9","50.0"
"USC00023668","GREEN VALLEY, AZ US","2022-05","457",,"44",,"0.00","103",,"0.00",,"75.3","94.2","56.5"
"USC00023668","GREEN VALLEY, AZ US","2022-06","1052",,"59",,"0.20","108",,"0.54",,"84.8","101.0","68.7"
"USC00023668","GREEN VALLEY, AZ US","2022-07","1687",,"66",,"1.38","106","0","4.46",,"85.5","98.8","72.1"
"USC00023668","GREEN VALLEY, AZ US","2022-08","2206",,"68",,"0.88","102","0","2.80",,"82.9","94.7","71.1"
"USC00023668","GREEN VALLEY, AZ US","2022-09","2663",,"62",,"1.79","99","0","4.73",,"80.8","94.5","67.0"
"USC00023668","GREEN VALLEY, AZ US","2022-10","2808",,"38",,"0.79","92","39","1.09",,"68.6","83.2","53.9"
"USC00023668","GREEN VALLEY, AZ US","2022-11","2808",,"32",,"0.00","82","331","0.00",,"54.6","71.2","37.9"
"USC00023668","GREEN VALLEY, AZ US","2022-12","2808",,"26",,"0.59","78","753","1.41",,"51.4","65.8","36.9"
"USC00023668","GREEN VALLEY, AZ US","2023-01","0",,"24",,"0.76","78","1230","1.34",,"49.6","64.2","35.0"
"USC00023668","GREEN VALLEY, AZ US","2023-02","0",,"25",,"0.33","82","1640","0.78",,"50.4","64.8","36.0"
"USC00023668","GREEN VALLEY, AZ US","2023-03","1",,"31",,"0.14","82","1883","0.31",,"57.2","71.8","42.5"
"USC00023668","GREEN VALLEY, AZ US","2023-04","108",,"32",,"0.00","97","1967","0.00",,"65.8","84.7","47.0"
"USC00023668","GREEN VALLEY, AZ US","2023-05","377",,"46",,"0.00","99","1970","0.00",,"74.5","91.6","57.4"
"USC00023668","GREEN VALLEY, AZ US","2023-06","833",,"54",,"0.00","110","1970","0.00",,"80.2","97.5","62.9"
"USC00023668","GREEN VALLEY, AZ US","2023-07","1635",,"66",,"0.55","111","0","1.23",,"90.9","105.9","75.8"
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2017-12",,"0",,"0.0","0.37",,,"0.53","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-01",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-02",,,,,"1.34",,,"3.00",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-03",,"0",,"0.0","0.01",,,"0.02","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-04",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-05",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-06",,"0",,"0.0","0.91",,,"1.17","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-07",,,,,"0.62",,,"3.33",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-08",,,,,"0.97",,,"1.80",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-09",,"0",,"0.0","3.46",,,"3.88","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-10",,,,,"1.06",,,"3.51",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-11",,"0",,"0.0","0.12",,,"0.12","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2018-12",,,,,"0.36",,,"1.22",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-01",,,,,"0.55",,,"1.40",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-02",,,,,"1.34",,,"2.92",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-03",,"0",,"0.0","0.45",,,"0.93","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-04",,"0",,"0.0","0.06",,,"0.06","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-05",,"0",,"0.0","0.36",,,"0.39","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-06",,"0",,"0.0","0.18",,,"0.18","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-07",,,,,"0.17",,,"0.56",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-08",,,,,"1.30",,,"3.03",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-09",,,,,"0.97",,,"2.15",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-10",,"0",,"0.0","0.00",,,"0.00","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-11",,,,,"0.98",,,"2.66",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2019-12",,,,,"0.54",,,"1.85",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-01",,,,,"0.29",,,"0.74",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-02",,"0",,"0.0","0.45",,,"0.89","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-03",,,,,"0.59",,,"0.96",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-04",,"0",,"0.0","0.09",,,"0.09","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-05",,"0",,"0.0","0.01",,,"0.01","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-06",,"0",,"0.0","0.08",,,"0.08","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-07",,,,,"0.24",,,"0.63",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-08",,,,,"0.42",,,"0.45",,,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-09",,"0",,"0.0","0.65",,,"0.65","0.0",,,
"US1AZPM0323","GREEN VALLEY 1.5 NW, AZ US","2020-10",,"0",,"0.0","0.00",,,"0.00","0.0",,,
