"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00025825","NATURAL BRIDGE, AZ US","2013-07","663","0","0","56","0","0.0","1.52","97","0","6.81","0.0","75.5","88.4","62.5"
"USC00025825","NATURAL BRIDGE, AZ US","2013-08","946","0","0","53","0","0.0","1.65","94","0","3.47","0.0","74.1","86.4","61.8"
"USC00025825","NATURAL BRIDGE, AZ US","2013-09","1080","0","0","39","0","0.0","1.21","90","23","1.74","0.0","68.7","81.8","55.6"
"USC00025825","NATURAL BRIDGE, AZ US","2013-10","1080","0","0","31","0","0.0","0.24","79","308","0.24","0.0","55.8","71.1","40.5"
"USC00025825","NATURAL BRIDGE, AZ US","2013-11","1080","0","0","27","0","0.0","1.75","76","774","3.33","0.0","49.5","62.5","36.5"
"USC00025825","NATURAL BRIDGE, AZ US","2013-12","1080","1","1","17","1","1.0","1.36","65","1553","1.53","1.0","39.9","51.6","28.1"
"USC00025825","NATURAL BRIDGE, AZ US","2014-01","0","0","0","21","0","0.0","0.00","65","2167","0.00","0.0","45.2","60.0","30.4"
"USC00025825","NATURAL BRIDGE, AZ US","2014-02","0","0","0","24","0","0.0","0.10","73","2648","0.10","0.0","47.8","60.5","35.1"
"USC00025825","NATURAL BRIDGE, AZ US","2014-03","0","0","0","32","0","0.0","0.92","74","3083","2.04","0.0","51.0","64.9","37.0"
"USC00025825","NATURAL BRIDGE, AZ US","2014-04","0","0","0","28","0","0.0","0.75","81","3359","1.11","0.0","55.8","69.9","41.8"
"USC00025825","NATURAL BRIDGE, AZ US","2014-05","68","0","0","38","0","0.0","0.09","92","3478","0.10","0.0","63.3","77.7","49.0"
"USC00025825","NATURAL BRIDGE, AZ US","2014-06","319","0","0","51","0","0.0","0.00","94","3478","0.00","0.0","73.4","88.3","58.4"
"USC00025825","NATURAL BRIDGE, AZ US","2014-07","664","0","0","57","0","0.0","1.27","96","0","2.50","0.0","76.1","89.8","62.5"
"USC00025825","NATURAL BRIDGE, AZ US","2014-08","859","0","0","52","0","0.0","1.30","93","0","4.75","0.0","71.3","84.7","57.8"
"USC00025825","NATURAL BRIDGE, AZ US","2014-09","1006","0","0","47","0","0.0",,"90","13","3.24","0.0","69.9","82.4","57.5"
"USC00025825","NATURAL BRIDGE, AZ US","2014-10","1009","0","0","41","0","0.0","0.68","83","128","1.72","0.0","61.4","75.0","47.8"
"USC00025825","NATURAL BRIDGE, AZ US","2014-11","1009","0","0","22","0","0.0","0.00","74","613","0.00","0.0","48.8","62.4","35.2"
"USC00025825","NATURAL BRIDGE, AZ US","2014-12","1009","1","1","20","6","6.5","1.10","65","1303","3.46","6.5","42.7","53.1","32.4"
"USC00025825","NATURAL BRIDGE, AZ US","2015-01","0","9","1","9","11","5.0","1.50","68","1994","3.98","5.0","42.7","53.5","31.9"
"USC00025825","NATURAL BRIDGE, AZ US","2015-02","0","0","0","26","0","0.0","0.80","73","2429","1.23","0.0","49.5","63.4","35.6"
"USC00025825","NATURAL BRIDGE, AZ US","2015-03","0","0","0","24","0","0.0","0.69","82","2758","1.67","0.0","54.4","69.9","38.8"
"USC00025825","NATURAL BRIDGE, AZ US","2015-04","1","0","0","32","0","0.0","0.42","81","3054","0.62","0.0","55.2","69.3","41.0"
"USC00025825","NATURAL BRIDGE, AZ US","2015-05","26","0","0","33","0","0.0","1.53","90","3260","2.28","0.0","59.2","72.0","46.3"
"USC00025825","NATURAL BRIDGE, AZ US","2015-06",,"0","0",,"0","0.0","1.33",,,"1.68","0.0",,,
"USC00025825","NATURAL BRIDGE, AZ US","2015-07",,"0","0","59","0","0.0","0.93","93","0","1.85","0.0","75.2","88.1","62.3"
"USC00025825","NATURAL BRIDGE, AZ US","2015-08",,"0","0","60","0","0.0","0.65","98","0","1.42","0.0","77.9","91.5","64.3"
"USC00025825","NATURAL BRIDGE, AZ US","2015-09",,"0","0","51","0","0.0","0.64","91","0","1.62","0.0","72.3","85.7","58.8"
"USC00025825","NATURAL BRIDGE, AZ US","2015-10",,"0","0","39","0","0.0","1.30","87","123","3.62","0.0","62.4","75.5","49.3"
"USC00025825","NATURAL BRIDGE, AZ US","2015-11",,"0","0","22","0","0.0","1.05","71","688","2.35","0.0","46.2","58.9","33.5"
"USC00025825","NATURAL BRIDGE, AZ US","2015-12",,"4","2","17","7","6.0","0.85","65","1478","1.54","9.5","39.5","50.3","28.7"
