STATION,NAME,DATE,AWND,CDSD,DSNW,EMNT,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,DSND,EMSD
USC00022659,"DOUGLAS, AZ US",2013-07,,,,53.0,,2.3,102.0,0.0,7.67,,79.2,93.3,65.1,,,,,,
USC00022659,"DOUGLAS, AZ US",2013-08,,,,,,0.73,,,2.77,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2013-09,,,,50.0,,0.45,98.0,,1.09,,76.6,90.7,62.4,,,,,,
USC00022659,"DOUGLAS, AZ US",2014-07,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2014-08,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2014-11,,,,24.0,,0.57,84.0,,0.57,,56.9,73.4,40.4,,,,,,
USC00022659,"DOUGLAS, AZ US",2014-12,,,,20.0,,0.5,76.0,,1.41,,50.8,67.2,34.4,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-01,,0.0,,22.0,,1.2,77.0,,2.07,,49.2,66.3,32.1,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-02,,1.0,,32.0,,0.2,82.0,,0.31,,58.2,76.0,40.4,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-03,,1.0,,34.0,,0.72,90.0,,1.62,,59.6,75.0,44.1,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-04,,19.0,,34.0,,0.5,87.0,,0.5,,63.6,80.3,46.9,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-05,,110.0,,41.0,,0.0,99.0,,0.0,,67.9,85.6,50.3,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-06,,590.0,,58.0,,0.58,106.0,,1.15,,82.8,99.4,66.3,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-07,,1037.0,,64.0,,1.0,99.0,0.0,3.56,,81.5,93.6,69.4,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-08,,1568.0,,63.0,,0.9,104.0,0.0,2.63,,82.7,97.6,67.8,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-09,,1876.0,,55.0,,1.22,98.0,0.0,1.75,,77.3,91.8,62.9,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-10,,2005.0,,41.0,,0.5,97.0,20.0,1.51,,69.0,83.7,54.3,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-11,,2005.0,,24.0,,0.08,79.0,315.0,0.15,,54.5,72.9,36.0,,,,,,
USC00022659,"DOUGLAS, AZ US",2015-12,,2005.0,,18.0,,0.4,78.0,766.0,0.4,,47.7,66.1,29.2,,,,,,
USC00022659,"DOUGLAS, AZ US",2016-01,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2016-02,,,,20.0,,0.8,91.0,,0.8,,56.2,77.7,34.7,,,,,,
USC00022659,"DOUGLAS, AZ US",2016-04,,,,33.0,,0.05,90.0,,0.05,,64.2,83.0,45.5,,,,,,
USC00022659,"DOUGLAS, AZ US",2016-05,,,,46.0,,0.0,95.0,,0.0,,70.7,87.2,54.1,,,,,,
USC00022659,"DOUGLAS, AZ US",2016-06,,,,58.0,,1.0,111.0,,1.07,,82.9,99.9,65.9,,,,,,
USC00022659,"DOUGLAS, AZ US",2016-08,,,,55.0,,1.61,96.0,,3.9,,74.7,88.0,61.4,,,,,,
USC00022659,"DOUGLAS, AZ US",2017-07,,,,56.0,,1.0,103.0,0.0,4.21,,79.1,92.2,66.0,,,,,,
USC00022659,"DOUGLAS, AZ US",2017-08,,,,55.0,,0.35,95.0,0.0,0.73,,76.6,89.9,63.3,,,,,,
USC00022659,"DOUGLAS, AZ US",2017-09,,,,49.0,,0.22,96.0,0.0,0.22,,73.7,87.8,59.5,,,,,,
USC00022659,"DOUGLAS, AZ US",2017-10,,,,42.0,,0.0,91.0,12.0,0.0,,68.1,85.9,50.3,,,,,,
USC00022659,"DOUGLAS, AZ US",2018-02,,,,27.0,,0.76,76.0,,1.22,,52.3,66.3,38.3,,,,,,
USC00022659,"DOUGLAS, AZ US",2018-03,,,,26.0,,0.15,81.0,,0.15,,56.3,72.4,40.2,,,,,,
USC00022659,"DOUGLAS, AZ US",2018-04,,,,36.0,,0.0,88.0,,0.0,,64.9,81.6,48.2,,,,,,
USC00022659,"DOUGLAS, AZ US",2018-09,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2019-07,,,,,,,,,2.4,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2019-08,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2019-09,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2019-10,,,,33.0,,0.0,87.0,,0.0,,63.5,81.1,45.9,,,,,,
USC00022659,"DOUGLAS, AZ US",2019-11,,,,29.0,,4.0,78.0,,10.61,,55.5,71.5,39.6,,,,,,
USC00022659,"DOUGLAS, AZ US",2020-02,,,,23.0,,0.6,72.0,,0.75,,50.0,65.4,34.6,,,,,,
USC00022659,"DOUGLAS, AZ US",2020-03,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2020-05,,,,47.0,,0.21,100.0,,0.3,,72.0,89.3,54.7,,,,,,
USC00022659,"DOUGLAS, AZ US",2020-08,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2021-08,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2021-09,,,,,,,,,,,,,,,,,,,
USC00022659,"DOUGLAS, AZ US",2022-05,,,,,,0.0,,,0.0,,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2017-07,,,,,,1.23,,,4.62,,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2017-08,,,,,,0.99,,,2.32,,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2017-09,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2017-10,,,0.0,,0.0,0.1,,,0.1,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2017-11,,,0.0,,0.0,0.11,,,0.11,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2017-12,,,0.0,,0.0,0.68,,,0.68,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-01,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-02,,,0.0,,0.0,0.62,,,1.12,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-03,,,0.0,,0.0,0.11,,,0.11,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-04,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-05,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-06,,,0.0,,0.0,0.48,,,0.72,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-07,,,0.0,,0.0,1.16,,,2.91,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-08,,,,,,0.91,,,2.91,,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-09,,,0.0,,0.0,1.08,,,2.07,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-10,,,,,,1.17,,,4.03,,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-11,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2018-12,,,0.0,,0.0,0.32,,,0.95,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-01,,,0.0,,0.0,0.35,,,0.85,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-02,,,0.0,,0.0,0.48,,,0.69,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-03,,,0.0,,0.0,1.21,,,1.45,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-04,,,0.0,,0.0,0.47,,,0.47,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-05,,,0.0,,0.0,0.37,,,0.37,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-06,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-07,,,0.0,,0.0,0.58,,,1.6,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-08,,,,,,1.2,,,2.61,,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-09,,,,,,1.24,,,1.99,,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-10,,,0.0,,0.0,0.03,,,0.03,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-11,,,0.0,,0.0,3.1,,,4.21,0.0,,,,,,,,,
US1AZCH0069,"DOUGLAS 8.8 NNW, AZ US",2019-12,,,0.0,,0.0,0.5,,,1.31,0.0,,,,,,,,,
US1AZCH0012,"DOUGLAS 7.3 WNW, AZ US",2013-07,,,,,,1.2,,,7.37,,,,,,,,,,
US1AZCH0012,"DOUGLAS 7.3 WNW, AZ US",2013-08,,,,,,2.68,,,6.58,,,,,,,,,,
US1AZCH0012,"DOUGLAS 7.3 WNW, AZ US",2013-09,,,,,,0.35,,,1.22,,,,,,,,,,
US1AZCH0012,"DOUGLAS 7.3 WNW, AZ US",2013-10,,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,
